State Name,Two Wheeler,Three Wheeler,Four Wheeler,Goods Vehicles,Public Service Vehicle,Special Category Vehicles,Ambulance/Hearses,Construction Equipment Vehicle,Other,Grand Total,total-charging-stations,Charging_Station_Share (%),Chargers per 1k EVs,EV_per_Station,State Population (millions),State Area (km²),Urbanization Rate (%),EV-Friendly Policy Score,EV Registrations (in thousands),Electricity Rate (Rs/unit),Smart Cities Count
Karnataka,6420,87898,656,486.2,355.1,20,2,1,1915,263636,883,8.26,7.868432,77.20333,96.39,268836.46,35.79,1,267,7.86,4
Bihar,13507,16000,9340,212.5,364.5,6,9,8,1069,246131,55,6.39,0.697241,2549.886592,166.82,205863.89,72.01,8,892,7.94,18
Maharashtra,79643,67761,7161,314.6,87.8,25,1,3,1067,135122,505,5.84,9.612984,4394.488428,182.85,29604.52,51.01,2,11,8.57,15
Rajasthan,29825,16312,9135,273.0,143.0,8,1,1,1360,209103,456,21.64,0.413234,579.665998,213.41,327085.26,32.72,6,295,8.86,10
Tamil Nadu,12065,97676,1262,472.4,83.5,3,3,8,1242,97845,486,24.43,7.204348,2869.193511,60.93,257857.56,89.51,3,887,3.41,7
Assam,12876,65728,4919,480.5,326.8,17,0,3,311,159906,864,14.75,3.036676,4715.357296,10.32,19689.94,30.66,2,286,5.08,15
West Bengal,55608,52584,8378,247.4,461.8,8,7,1,117,250812,220,10.26,8.101273,880.626019,127.73,266302.4,26.79,1,152,7.32,4
Haryana,56954,94400,4062,210.8,283.5,28,4,8,1202,265706,857,17.66,7.398356,1858.264295,162.43,56780.8,49.57,1,880,5.65,15
Uttarakhand,27974,61081,7107,433.3,264.0,14,9,9,116,123643,833,24.47,0.659208,4986.58813,108.12,348854.04,67.03,2,221,6.23,6
Gujarat,41497,45376,4223,413.5,225.3,4,0,0,1533,293929,445,0.57,2.347028,2633.865557,207.59,225691.35,81.35,1,241,4.12,15
Punjab,24534,49930,6648,130.1,356.4,28,5,9,259,82833,623,13.87,9.471499,4945.741719,247.61,127029.93,88.48,10,688,3.08,7
Kerala,7343,75297,2766,163.5,159.5,6,8,4,753,85802,582,15.14,7.168723,3035.977794,153.43,164954.26,22.21,3,231,6.08,6
Madhya Pradesh,72268,16413,9611,234.3,357.0,13,9,6,687,24744,569,7.58,2.329598,4906.562271,241.59,112355.79,78.58,10,534,5.54,15
Chhattisgarh,49036,20261,2130,429.3,152.4,26,1,3,1994,22106,363,17.26,5.346947,4146.583911,215.34,252590.75,21.8,6,750,6.4,3
Jharkhand,41096,104037,9137,147.1,79.3,25,0,2,426,230775,721,5.07,6.549293,1816.169878,79.4,136230.26,51.11,8,899,5.07,18
Odisha,52176,110381,6872,454.1,59.6,24,2,5,140,194674,559,8.02,4.328511,2962.318589,17.51,306731.36,71.35,2,721,3.62,1
Telangana,26466,46676,7238,306.9,338.0,18,4,1,712,268735,735,15.52,4.708247,4301.064505,189.38,221131.83,44.97,6,74,4.14,11
Andhra Pradesh,26653,66401,6052,395.9,308.5,10,7,4,126,230943,302,9.65,3.705959,2229.385852,18.92,149429.53,51.97,3,952,3.37,8
Uttar Pradesh,48142,102265,8182,458.3,208.8,9,7,8,34,73744,335,14.26,4.774687,3020.593696,128.37,302659.07,27.97,3,87,7.7,3
Delhi,71356,6504,1717,424.1,160.8,0,2,3,1191,203299,42,13.0,8.759183,3022.186968,76.24,246601.72,45.05,6,717,5.53,11
Karnataka,44119,23000,6963,399.0,87.6,27,5,7,1797,83874,248,23.94,1.526913,2192.151831,96.69,66472.41,33.23,10,637,6.84,16
Bihar,1026,75200,6010,36.4,211.0,18,9,6,213,35571,785,2.41,3.654661,1955.967055,26.56,128855.1,78.05,5,951,8.69,9
Maharashtra,69577,60721,6151,321.5,92.2,8,0,6,527,122730,190,16.6,3.651242,3038.670381,89.48,128646.56,63.46,9,787,7.41,7
Rajasthan,31345,71460,6294,364.4,33.9,8,6,5,208,160948,495,21.42,9.027003,1767.324125,225.91,222419.18,76.74,7,732,5.69,15
Tamil Nadu,70544,14055,2762,142.9,253.9,23,1,2,322,272374,769,5.23,1.161856,2199.120175,125.05,154725.28,47.75,8,228,5.57,19
Assam,55596,50153,4915,419.2,484.3,14,0,2,5,264391,304,3.35,7.349336,4545.66696,65.1,347726.46,51.51,2,980,3.94,16
West Bengal,16716,57791,4740,287.8,284.6,0,6,0,861,95690,280,4.28,2.803973,4298.698263,236.76,290995.33,79.3,3,53,5.77,8
Haryana,61315,112282,3519,239.0,33.1,26,6,7,1342,168522,675,8.93,9.267701,1964.7173,64.74,111020.75,74.98,10,928,3.44,14
Uttarakhand,9347,3114,6672,289.2,407.4,20,0,4,1088,82663,474,24.36,8.547804,4195.285734,137.93,261930.61,39.94,2,635,8.65,1
Gujarat,11607,35820,3604,191.5,190.2,24,5,5,129,177143,654,8.75,6.972509,3289.808562,129.69,325933.02,60.86,6,523,7.04,12
Punjab,29957,73456,5802,353.2,404.5,28,0,6,1110,41174,240,20.49,1.920008,4397.069089,36.97,334729.47,35.68,6,903,3.97,16
Kerala,58220,118054,8657,48.4,288.4,23,9,0,1735,67469,482,18.44,3.15057,2992.783012,12.51,174730.23,35.86,4,144,3.58,8
Madhya Pradesh,73253,91346,4711,111.2,58.0,13,7,6,626,263360,673,14.7,4.795591,4678.205521,124.31,113075.45,72.79,10,119,5.44,16
Chhattisgarh,11302,80058,2824,346.3,292.0,1,9,5,334,184822,734,3.77,0.873541,3853.325969,59.37,150211.45,43.89,8,522,5.77,6
Jharkhand,64676,70577,5147,185.2,168.7,29,7,9,53,269700,514,5.78,9.931458,617.071994,13.32,302737.85,56.17,3,642,6.19,10
Odisha,37326,65945,3972,305.3,364.6,12,5,4,1077,64031,249,18.69,3.730404,1126.204857,57.25,253447.31,82.74,2,837,8.8,10
Telangana,20709,17576,3758,352.0,191.2,14,7,9,1178,205857,515,19.66,1.114445,3797.271314,23.96,322437.57,65.34,5,258,7.2,8
Andhra Pradesh,50449,62509,1270,259.4,184.6,17,1,1,1395,240202,823,7.79,7.890482,4520.517366,53.87,290224.77,85.46,9,821,7.24,3
Uttar Pradesh,29570,72568,3606,166.0,129.0,9,4,9,134,225845,275,17.93,3.384213,1680.520061,188.61,344867.04,78.74,2,886,5.32,4
Delhi,64793,102530,3625,230.2,1.9,23,8,5,779,203103,793,5.06,9.73911,1876.814029,213.96,200501.07,48.22,5,178,3.52,13
Karnataka,33344,49618,1056,248.0,246.0,27,7,2,1093,96318,261,6.53,8.787478,3449.093442,39.84,256910.11,56.99,1,754,4.97,4
Bihar,17832,42348,6850,299.4,496.8,7,6,9,417,152968,652,19.8,0.283564,3562.560364,185.06,49264.89,45.83,7,323,8.94,15
Maharashtra,62479,76922,7268,23.5,20.0,23,3,4,211,293604,302,14.45,2.590328,288.52947,208.72,66199.45,21.64,3,640,5.91,18
Rajasthan,30880,27768,3299,144.7,231.4,9,7,2,1095,172584,341,6.24,9.427786,3344.304002,162.67,280390.33,66.1,5,678,8.86,14
Tamil Nadu,39587,90864,8122,350.0,233.5,8,1,8,1046,94178,806,11.24,0.642217,645.272723,151.54,154842.4,68.0,1,893,6.66,15
Assam,12819,71831,9573,104.5,414.5,3,6,4,1461,212007,840,5.64,9.082037,4441.56894,220.47,140807.8,27.3,8,346,4.97,18
West Bengal,3577,29548,7909,291.9,225.3,19,5,9,1200,185105,65,4.4,9.210654,1086.550599,177.07,74029.77,69.88,9,449,6.48,9
Haryana,43275,44210,7249,430.1,4.8,24,3,5,16,254826,446,23.57,3.855918,2485.805267,237.5,170390.35,29.03,6,227,4.84,9
Uttarakhand,31818,63648,6465,109.0,424.6,4,1,5,874,161021,189,20.06,9.018259,2457.492939,235.31,67841.86,47.66,6,526,7.39,18
Gujarat,78222,118377,2152,85.8,148.1,13,8,3,1021,80038,797,12.2,7.822381,1205.012307,137.13,193297.55,55.28,3,135,6.68,9
Punjab,62560,37157,4662,315.7,357.4,8,3,5,916,292858,663,11.13,7.543449,4521.462484,204.51,124127.23,38.29,5,178,7.36,7
Kerala,21357,64567,1743,219.1,227.0,12,2,3,1368,153503,697,16.28,2.826994,3603.271591,172.91,32539.13,52.06,2,652,7.44,9
Madhya Pradesh,54727,21489,7670,470.4,86.8,0,5,3,590,132868,700,6.91,2.250591,2474.214513,202.02,313322.36,32.93,7,808,6.92,12
Chhattisgarh,60802,36834,8351,142.6,377.5,25,9,7,447,67178,862,24.57,7.150928,1227.514097,32.52,195190.27,59.62,6,663,8.46,1
Jharkhand,41261,49719,9924,272.2,152.4,20,9,5,1219,39510,520,21.99,0.426447,3240.509635,33.5,181662.32,35.03,9,855,5.61,3
Odisha,4556,38127,9399,194.1,173.0,26,8,5,66,56049,893,23.08,2.636304,4686.808046,156.84,300466.84,38.43,4,622,6.59,17
Telangana,38270,118195,2518,240.1,378.4,15,2,2,1697,223422,323,12.78,3.714229,451.815431,179.22,137180.97,75.97,6,252,4.75,6
Andhra Pradesh,59793,64249,9692,462.1,413.9,14,2,2,1107,181463,369,3.78,9.998048,4550.489013,15.12,259554.26,41.05,6,176,3.41,2
Uttar Pradesh,20489,7350,3857,430.8,278.1,13,5,5,591,279180,949,19.23,3.938294,458.513484,121.57,115897.8,57.86,9,727,7.3,18
Delhi,14088,78792,593,285.1,137.8,24,9,5,1477,171888,629,18.05,2.44459,203.003764,167.76,138475.97,60.48,8,890,7.57,12
Karnataka,9086,86340,2144,482.1,319.8,0,1,5,664,112407,414,22.18,5.827583,3398.278962,189.19,208161.49,65.55,2,247,5.59,3
Bihar,76025,112818,8196,398.5,305.3,25,4,3,217,129867,84,1.11,4.370381,2111.245388,59.04,347720.04,78.31,10,859,4.91,10
Maharashtra,8766,110546,3021,470.9,297.2,13,7,1,1908,18985,389,8.25,5.40056,3302.649639,226.85,262695.09,59.61,8,837,6.45,13
Rajasthan,13486,75651,6715,434.2,28.5,3,2,9,435,151053,402,20.59,0.346253,4231.603074,114.78,278607.57,38.83,1,235,5.34,10
Tamil Nadu,27513,113996,6270,426.8,478.9,8,6,2,1865,296125,341,10.62,6.934492,576.407517,88.84,30031.01,34.7,2,702,6.79,4
Assam,14517,48918,4141,157.7,408.3,26,1,6,753,138618,469,4.51,0.98043,2127.855186,190.9,124887.46,27.14,2,409,5.93,6
West Bengal,49828,91967,3314,260.4,449.6,5,3,0,1521,129843,829,23.92,1.107784,4025.900209,123.06,133647.99,31.26,10,442,5.83,5
Haryana,23635,55641,5240,411.8,37.8,20,1,0,1566,41659,554,22.42,7.141965,1102.378368,14.46,280154.35,71.64,7,530,3.89,12
Uttarakhand,63151,7116,1686,163.8,15.1,8,2,0,317,14027,820,24.21,4.500429,4745.892933,183.25,230828.53,74.92,8,92,5.21,17
Gujarat,38095,36747,4129,451.4,1.3,21,8,3,1043,283576,808,5.71,2.769066,4951.940246,228.6,50634.77,82.29,6,153,4.68,16
Punjab,34489,44779,7781,8.4,484.0,15,9,9,1774,44096,140,0.56,0.910308,2178.076547,178.3,300089.81,76.26,6,645,8.1,11
Kerala,32542,95118,1216,398.9,322.3,5,2,7,270,201416,231,12.39,4.30923,821.434954,146.58,321608.31,23.48,5,351,6.08,10
Madhya Pradesh,7533,12191,8097,130.9,2.2,4,7,1,271,173989,586,6.52,4.165874,1217.319256,143.6,108764.8,51.53,2,102,8.63,14
Chhattisgarh,4194,54175,2549,273.0,466.1,18,0,4,292,169422,136,20.15,4.605206,4711.336452,237.22,178116.77,53.99,2,88,7.97,4
Jharkhand,7849,66406,3687,26.5,450.8,15,2,1,1327,201730,104,19.29,5.293755,4748.737525,219.8,112857.04,57.81,6,608,5.7,13
Odisha,11465,92579,1244,390.5,360.5,5,3,2,1378,135666,434,10.6,0.592537,2037.841004,38.01,264539.19,46.11,9,847,6.71,16
Telangana,70675,37296,9995,46.9,261.3,14,7,3,903,32087,421,22.79,7.823972,3929.463668,156.59,234637.67,26.32,1,53,6.05,10
Andhra Pradesh,35964,117264,6432,499.1,489.0,2,9,1,443,171972,678,20.32,0.611956,3916.106165,66.67,47536.0,87.95,1,851,6.93,4
Uttar Pradesh,7883,89727,7617,41.3,133.6,0,3,2,1269,32492,31,21.55,3.477824,709.466718,95.98,80825.05,66.2,8,930,3.75,9
Delhi,58465,1798,8123,483.0,262.9,0,6,1,981,292055,980,17.0,3.691886,2352.083432,62.1,334469.85,75.3,3,486,7.11,6
Karnataka,46301,72280,1318,442.5,52.4,7,8,9,1012,23326,255,8.3,0.71613,2082.392211,36.67,318346.82,59.84,1,808,3.97,16
Bihar,19497,62650,8793,34.6,275.8,26,1,9,1303,252769,164,23.73,9.766603,2498.543526,198.18,208401.57,58.66,7,406,5.5,5
Maharashtra,75958,75745,1360,58.5,491.3,18,2,8,526,209248,535,20.46,3.404663,3288.799038,34.28,103428.31,64.59,7,377,4.91,8
Rajasthan,6375,72272,7444,12.8,316.2,8,2,8,1332,262100,145,10.69,5.555041,3624.174965,158.47,152395.83,27.31,6,255,3.87,19
Tamil Nadu,41112,90802,2058,322.5,451.2,15,9,4,1046,156630,285,9.88,1.927556,2481.821446,132.65,160309.28,31.68,7,125,7.04,16
Assam,61604,94493,4943,379.0,136.4,26,4,7,1705,73619,448,7.76,1.493946,1310.380121,204.89,213218.79,72.63,4,221,5.2,15
West Bengal,79917,71219,9386,206.1,407.4,13,3,7,481,133587,472,15.41,0.455489,1260.960059,67.94,256749.22,62.76,10,661,5.54,6
Haryana,66934,113935,5132,474.7,412.7,15,2,1,1078,218429,442,0.85,0.62743,2446.08015,241.09,75401.34,41.52,9,12,3.56,1
Uttarakhand,64434,26275,7120,201.9,325.0,11,2,7,1929,73257,277,0.95,9.562223,2970.903141,14.56,34033.73,79.68,5,545,6.18,12
Gujarat,3183,45780,1704,224.5,206.9,25,2,3,1096,50869,271,20.34,9.730386,3880.669384,76.9,211576.16,71.88,1,687,5.04,10
Punjab,22407,118127,9765,211.9,256.1,24,3,7,642,215472,249,15.99,6.204492,2472.301626,192.4,40462.24,59.77,3,286,7.37,6
Kerala,51175,61661,2323,71.8,72.2,29,2,9,1076,15509,187,12.96,5.465439,3176.571746,31.68,16087.11,56.04,5,125,5.03,6
Madhya Pradesh,66290,85973,506,163.3,469.2,13,8,8,470,31924,56,22.55,1.97564,3977.056414,124.69,312609.27,57.56,9,195,8.13,11
Chhattisgarh,24388,3532,5550,237.2,172.8,27,8,9,1414,232472,175,2.37,0.142905,2072.863557,195.54,179001.27,66.89,8,472,8.02,19
Jharkhand,39218,35783,5153,87.2,123.7,13,7,1,1357,56974,282,11.33,5.518202,3630.066113,82.19,66330.22,64.82,1,564,8.7,1
Odisha,76366,92196,8243,447.3,435.7,4,4,0,1973,206769,639,20.62,9.566173,3219.296444,72.42,289562.8,34.08,10,319,8.4,5
Telangana,14616,86544,1630,301.0,130.4,3,2,4,144,46065,437,24.12,6.742203,1319.405021,64.46,89481.23,29.3,9,733,3.48,17
Andhra Pradesh,13676,1056,8220,96.2,473.1,25,1,4,1322,108532,813,15.42,1.798106,4115.701463,223.46,270017.71,72.42,7,556,8.79,9
Uttar Pradesh,75777,90856,2409,436.6,485.2,19,3,4,308,86024,52,4.87,4.370227,2137.872494,68.49,260624.02,82.77,6,260,6.03,1
Delhi,35764,17818,2141,100.9,476.4,19,4,1,35,185723,658,17.84,3.894003,2580.281902,102.05,46225.4,32.73,3,171,3.54,19
Karnataka,52530,55162,4203,212.2,259.7,7,1,5,1686,181271,944,7.0,5.509218,2690.372421,154.59,305958.1,59.47,5,763,6.87,12
Bihar,9737,109391,2463,343.3,224.7,16,1,7,485,285987,535,19.78,5.030322,4640.27029,135.99,91867.58,79.98,7,881,6.59,7
Maharashtra,16404,75768,6888,419.4,204.6,5,9,4,266,102148,132,15.51,6.918884,3678.076234,18.48,234646.47,33.37,1,716,6.39,1
Rajasthan,40550,86257,8432,244.1,14.4,27,0,3,351,224885,647,4.11,6.832969,3721.183095,171.33,74359.51,24.96,4,994,3.19,5
Tamil Nadu,53508,69528,9459,400.3,71.6,15,4,5,1284,278750,216,21.59,6.758314,2299.554077,184.03,321967.55,60.7,1,448,6.52,3
Assam,4267,51315,8701,379.8,485.4,26,7,4,727,44758,653,17.9,4.609881,881.496346,28.53,171070.26,23.99,6,314,5.69,1
West Bengal,79523,3989,2459,261.1,144.0,28,4,0,701,239607,582,3.41,8.032681,573.627917,37.43,15739.82,82.62,3,289,7.44,16
Haryana,77319,72268,2523,302.2,6.1,20,2,5,592,134318,744,5.92,6.205706,697.334497,78.43,331560.7,47.91,6,918,3.48,1
Uttarakhand,2289,18960,7888,215.8,208.0,7,3,1,1597,137372,661,8.94,6.54561,4879.238849,103.16,117668.28,80.62,8,595,3.39,8
Gujarat,72448,50552,3068,479.5,413.9,9,1,1,1026,128862,246,16.6,4.900597,759.966717,33.91,128320.26,66.79,1,611,5.63,13
Punjab,14879,76580,4245,72.8,304.0,23,6,1,1789,142099,902,14.6,5.540946,169.304757,162.58,281112.32,67.74,9,316,3.27,13
Kerala,39089,65522,3384,72.8,395.6,8,2,8,1846,297333,156,2.36,7.099033,1000.138386,17.86,11728.36,40.14,10,564,8.59,10
Madhya Pradesh,34860,79919,7102,436.2,219.1,23,0,3,1446,19668,558,0.97,1.068371,1548.239113,208.99,103387.5,75.32,2,290,7.46,5
Chhattisgarh,7332,20406,9747,64.4,63.7,7,9,8,390,176256,401,15.43,4.065936,4903.599371,24.61,189912.05,54.62,2,548,7.83,5
Jharkhand,58085,3406,1047,395.4,275.1,9,1,6,738,101024,33,12.26,9.156059,2054.322065,96.77,296416.36,70.84,2,907,4.43,10
Odisha,65809,55675,5865,384.3,332.1,28,7,3,345,283682,59,4.9,2.083778,4540.64601,20.04,148577.66,81.11,3,404,4.95,4
Telangana,55250,106038,7665,471.5,299.2,28,9,0,502,114616,464,21.8,3.017094,4146.92688,68.09,107056.01,36.32,1,71,7.69,4
Andhra Pradesh,35942,18873,7817,120.5,68.5,11,0,8,1595,187126,147,9.77,3.744285,2847.600418,63.38,203990.2,82.78,6,860,8.19,11
Uttar Pradesh,19199,48331,3755,340.5,488.7,5,9,1,11,96788,287,22.59,9.929373,2131.670295,84.83,244467.46,46.67,2,145,6.55,15
Delhi,50763,97548,8166,243.6,362.9,23,1,5,799,32566,355,13.2,2.948421,3607.437078,248.46,99925.72,70.18,4,202,6.4,16
Karnataka,76366,82442,8928,341.6,170.5,27,3,8,412,144544,891,14.09,5.563393,2531.074667,130.69,142311.52,80.9,3,443,7.53,11
Bihar,64894,73133,8677,132.6,274.5,0,4,5,777,43090,229,4.33,5.568976,3553.906069,202.7,270137.49,79.45,7,20,8.7,19
Maharashtra,77441,59889,8553,60.8,230.3,7,4,1,1728,91638,291,16.69,3.397214,2162.308237,11.49,302522.15,78.58,9,617,4.22,12
Rajasthan,49734,8073,2672,466.5,395.9,12,5,8,1405,166521,763,12.96,1.618849,2118.082921,56.78,116678.41,81.28,4,776,8.37,19
Tamil Nadu,8460,85372,5276,361.2,382.1,26,7,5,1052,48689,659,10.42,9.665217,2880.656492,63.8,311677.17,35.47,1,916,5.94,3
Assam,19509,117629,9614,97.7,201.3,24,4,9,1141,220729,210,3.1,7.211481,2084.022109,134.11,40746.87,77.05,7,941,6.2,1
West Bengal,35105,14906,3214,168.6,86.8,16,8,5,287,127960,407,10.29,8.682634,223.52423,237.91,103337.08,83.95,5,798,3.48,8
Haryana,41529,4390,6517,172.1,85.1,29,5,2,247,239565,773,16.5,7.767313,2084.683555,13.85,168774.58,89.25,9,448,3.1,5
Uttarakhand,4337,74696,3406,370.8,77.7,0,1,4,1324,268606,778,20.19,1.159945,4783.12792,141.47,200695.94,59.52,7,112,7.1,17
Gujarat,37772,50780,4845,496.4,54.7,27,3,6,145,201954,982,14.14,8.505795,1916.818951,236.56,151646.87,61.78,6,432,5.26,11
Punjab,36470,81971,9678,246.2,390.6,25,3,4,1023,46279,264,20.39,2.910821,4132.249411,182.36,59270.56,60.85,10,453,4.43,5
Kerala,30921,107025,3142,374.9,306.5,6,4,0,1613,221711,235,12.06,3.221422,4836.215491,62.13,66762.31,83.92,9,295,7.79,17
Madhya Pradesh,24958,78114,8251,162.2,363.2,20,8,5,770,156168,448,18.31,6.058828,2532.815905,54.51,114208.59,40.38,5,935,8.82,14
Chhattisgarh,73536,97130,1998,62.5,479.0,19,5,3,286,51002,46,23.26,1.961531,2931.256693,131.83,213120.68,35.5,10,365,4.29,17
Jharkhand,70413,12484,8006,105.9,27.7,15,9,5,885,256827,487,19.97,3.601031,4560.887102,133.55,228261.07,55.0,6,164,6.93,3
Odisha,55658,52896,7548,16.0,40.2,16,0,1,1787,47715,112,24.32,9.666126,3473.876515,208.04,136811.36,66.18,8,258,3.61,15
Telangana,49996,67446,515,353.2,470.7,10,3,9,1419,282624,805,14.84,1.586239,4243.170326,186.75,19731.84,76.84,3,845,8.2,7
Andhra Pradesh,46415,27166,2250,267.9,494.7,25,5,3,741,297121,797,11.22,8.430012,3973.952076,98.37,287788.55,89.19,7,400,6.93,13
Uttar Pradesh,23024,30665,9633,45.5,472.1,22,2,2,154,281246,932,12.9,4.453153,4962.597943,188.94,145019.96,36.33,2,792,5.6,16
