State Name,Two Wheeler,Three Wheeler,Four Wheeler,Goods Vehicles,Public Service Vehicle,Special Category Vehicles,Ambulance/Hearses,Construction Equipment Vehicle,Other,Grand Total,total-charging-stations,Charging_Station_Share (%),Chargers per 1k EVs,EV_per_Station
Haryana,57605,95420.0,5609,525.0,267.0,4.0,29.0,2.0,373.0,47809,136.0,1.9478843374700796,3.5343786359339373,2859.5873257780777
Maharashtra,5437,88672.0,4685,835.0,635.0,16.0,7.0,2.0,484.0,4937,102.0,9.416528927368642,6.550187536587209,2512.621941691467
Chhattisgarh,35273,47911.0,4865,311.0,809.0,6.0,2.0,33.0,46.0,70560,122.0,16.00972592677931,0.101493081771753,5429.593039595149
Punjab,52299,5186.0,1424,1712.0,339.0,42.0,3.0,14.0,401.0,38360,229.0,18.9321254392868,6.883961848112035,1218.161169679698
Karnataka,21646,15982.0,7917,1942.0,932.0,2.0,29.0,1.0,422.0,120112,264.0,5.49165636931834,2.2448111217616793,2931.2182859787604
Assam,1654,100615.0,356,456.0,814.0,49.0,22.0,23.0,137.0,15341,239.0,3.7668894651100726,1.5513085451504445,3726.3788548718308
Gujarat,16832,37982.0,716,274.0,886.0,39.0,1.0,11.0,295.0,44052,50.0,19.848673694782022,4.652522458554533,3098.1290096056186
Maharashtra,37338,119436.0,7002,203.0,558.0,6.0,7.0,32.0,305.0,76926,232.0,3.9479643040605144,3.181932262008965,2023.13859984588
Gujarat,36521,5823.0,1918,1950.0,243.0,8.0,26.0,21.0,338.0,129717,166.0,1.626679853572519,6.030476203553677,442.4111572525073
Punjab,863,40917.0,6645,600.0,58.0,23.0,1.0,13.0,205.0,218353,115.0,0.6041218584712347,3.482660279884738,5607.507260140758
Bihar,46248,17179.0,4551,867.0,21.0,18.0,27.0,17.0,322.0,152850,130.0,4.805781088608159,0.41546658978389595,5265.217172781691
Delhi,6712,78064.0,7426,438.0,347.0,47.0,18.0,11.0,287.0,105170,114.0,5.822440690664565,2.29820388727337,5662.486569790972
Telangana,52159,9261.0,1698,1945.0,9.0,16.0,6.0,20.0,91.0,161724,298.0,18.344371322697295,0.9421276029453786,5076.636833895227
West Bengal,50406,16110.0,5195,1619.0,138.0,24.0,23.0,19.0,476.0,32692,211.0,15.573712928866263,4.0739960926046,4802.093946011023
Tamil Nadu,920,67835.0,6124,644.0,636.0,11.0,5.0,4.0,344.0,265426,280.0,2.643484191849268,0.45488596765695466,7455.002214860911
Uttarakhand,59072,52944.0,937,401.0,382.0,17.0,19.0,7.0,192.0,50978,30.0,20.49384230356744,6.500427893170251,5826.2252349081755
Andhra Pradesh,1760,81764.0,2867,1839.0,183.0,3.0,1.0,3.0,259.0,157148,106.0,1.2180000377305655,0.41988093456486564,4251.969678008536
Kerala,34042,22611.0,7848,431.0,850.0,27.0,2.0,39.0,488.0,240735,160.0,4.405525866767638,1.015779720059395,5691.336244031214
Kerala,4834,82105.0,5647,1109.0,168.0,10.0,26.0,14.0,436.0,122208,218.0,10.881555411425175,2.5208743306474064,1122.6403571105482
West Bengal,30497,44920.0,7451,1832.0,433.0,4.0,25.0,5.0,434.0,107793,154.0,22.80657290240315,5.236550312616175,993.256809122898
West Bengal,3335,34022.0,4365,1367.0,174.0,5.0,14.0,8.0,485.0,242550,226.0,22.96532468886073,4.653251632878914,2664.262990068563
Delhi,565,28692.0,1319,375.0,967.0,24.0,1.0,14.0,488.0,203252,165.0,21.442332264461488,3.188035722202507,3094.3514919105405
Delhi,43321,11214.0,5250,1437.0,407.0,45.0,11.0,22.0,415.0,34492,132.0,5.376976667307897,2.741727621299925,6450.845217018395
Uttarakhand,33520,107826.0,6207,1983.0,940.0,18.0,14.0,39.0,180.0,160246,169.0,6.482846505713998,3.621005511107477,1570.3609697770403
Assam,12543,51311.0,2714,1366.0,906.0,7.0,22.0,14.0,148.0,110098,176.0,5.2936689113874555,3.0838624462162687,80.50762425977192
Assam,7760,106942.0,4243,83.0,242.0,31.0,7.0,26.0,26.0,80813,172.0,17.34634755271446,4.449861449228537,5029.483783872221
Maharashtra,35662,36154.0,2183,1413.0,462.0,45.0,0.0,13.0,306.0,45852,151.0,12.819363394921186,1.3677373436224405,7325.073632405602
Bihar,1273,33989.0,6004,1555.0,78.0,14.0,16.0,35.0,0.0,292090,291.0,14.96052910488745,4.387249577349111,6985.85208953156
Uttar Pradesh,541,119856.0,4766,776.0,555.0,38.0,4.0,25.0,248.0,213683,193.0,9.818089882356217,3.3589777742819127,6168.2499502412
Tamil Nadu,53088,45845.0,3160,1126.0,787.0,34.0,15.0,10.0,238.0,85380,95.0,19.897257099230835,5.362126448888038,7208.238938792618
Andhra Pradesh,16279,8329.0,6080,1517.0,523.0,44.0,3.0,10.0,171.0,238576,274.0,16.282428429947796,1.3846645126752462,2888.521273864228
Maharashtra,36395,79566.0,4760,973.0,437.0,24.0,19.0,0.0,378.0,35423,29.0,12.225488681519938,3.520478130179902,3594.1230216729696
Chhattisgarh,8818,54878.0,1057,1632.0,691.0,46.0,1.0,19.0,139.0,112959,77.0,6.7611534659937,0.9817941463220003,3423.6705291360345
Odisha,25769,67619.0,6576,1073.0,389.0,4.0,27.0,21.0,224.0,90125,257.0,13.53700930790832,6.4469731595854665,310.7404450288699
Maharashtra,38933,12184.0,6323,1051.0,118.0,14.0,27.0,2.0,329.0,50749,116.0,20.838386516030326,6.078089515620869,7979.273247037383
Uttarakhand,16029,1897.0,3217,1967.0,288.0,14.0,21.0,10.0,163.0,288098,188.0,23.502047075011454,3.7906410095128886,2308.3092595235025
Tamil Nadu,47670,43841.0,6494,1613.0,339.0,43.0,19.0,34.0,433.0,41995,276.0,5.034763505086547,6.45847954288661,3107.822045455809
West Bengal,54789,28168.0,7878,1428.0,294.0,14.0,23.0,14.0,437.0,66203,138.0,18.044596808753305,1.2992968510937541,5461.602090557548
Telangana,4641,103972.0,3054,293.0,690.0,36.0,12.0,7.0,210.0,34714,248.0,9.460146649339602,4.396987955514336,4324.217963915054
Uttar Pradesh,47713,80188.0,5199,275.0,221.0,38.0,29.0,13.0,295.0,10716,65.0,0.6617181374219565,6.133303668162463,6614.205642183352
Bihar,11389,46397.0,7173,321.0,877.0,23.0,10.0,2.0,22.0,10807,159.0,22.741772882028446,0.678419200554355,3554.35991747316
Haryana,14441,15109.0,723,156.0,131.0,35.0,21.0,15.0,491.0,131750,100.0,22.474000218605276,1.1284724310780223,7153.84795186198
Bihar,2247,45486.0,4324,1188.0,274.0,21.0,28.0,2.0,455.0,138268,244.0,6.182801345888223,1.5314324097885774,158.16008640315496
Assam,22408,92624.0,7872,1593.0,155.0,47.0,15.0,37.0,37.0,63944,146.0,18.98969414025707,4.942081731922313,6474.3809544261085
Gujarat,30723,100130.0,707,381.0,699.0,47.0,22.0,10.0,81.0,292570,133.0,5.348581939682559,4.338122224579492,3588.1036767300516
Jharkhand,51603,39011.0,6297,575.0,260.0,38.0,15.0,34.0,391.0,131818,293.0,13.572523756881163,5.164500132321472,5165.378015078308
Karnataka,24328,55386.0,3919,1720.0,171.0,20.0,29.0,4.0,296.0,285631,166.0,20.456645820508463,2.6821740100055824,3172.9441069101886
Chhattisgarh,9120,48873.0,4249,1672.0,587.0,49.0,12.0,22.0,391.0,1557,120.0,4.382657283475412,1.4291190394161961,3755.1094523770066
Jharkhand,46209,109439.0,2574,393.0,420.0,11.0,19.0,7.0,108.0,66818,77.0,18.870397743987233,1.9183970370850196,3490.1408878730144
Kerala,19844,53207.0,5896,1461.0,606.0,22.0,27.0,34.0,167.0,273729,287.0,8.08900289953979,5.0937099397211,5188.18353380141
Karnataka,36141,83697.0,594,429.0,181.0,5.0,16.0,20.0,251.0,57618,46.0,23.471451505654084,0.7631843367018286,3209.4963425609676
Gujarat,32715,46581.0,5351,1129.0,994.0,14.0,16.0,12.0,480.0,255685,45.0,18.054063652717062,1.623009469659887,2689.326058548789
Chhattisgarh,44470,99070.0,4504,1156.0,826.0,24.0,18.0,38.0,45.0,147768,252.0,17.51191060269917,1.0558254164274816,2840.772164084994
Karnataka,34407,50379.0,7101,137.0,14.0,13.0,24.0,18.0,160.0,282987,209.0,24.74091300408628,5.841617055841271,4575.193429206397
Uttarakhand,45036,60219.0,5357,855.0,76.0,34.0,5.0,6.0,189.0,165402,101.0,6.405358645687166,5.462497309725006,588.3162628260785
Chhattisgarh,8600,74908.0,459,170.0,403.0,20.0,0.0,6.0,230.0,203186,137.0,19.430556015209405,4.569710450003906,2831.9592735228907
Andhra Pradesh,50185,111039.0,1283,716.0,383.0,33.0,26.0,35.0,247.0,21640,111.0,22.63327368698342,4.703566087470106,2724.3294319344127
Assam,38860,119895.0,1786,407.0,95.0,21.0,22.0,0.0,155.0,280666,123.0,6.552951529391336,1.0289271601224237,4314.75395406411
Uttarakhand,20437,104342.0,1808,673.0,773.0,25.0,9.0,29.0,484.0,275380,278.0,0.5695136604851059,4.173350758924655,2412.087897520253
Rajasthan,41833,49418.0,7922,888.0,243.0,39.0,24.0,13.0,1.0,31444,99.0,18.337769262766326,0.9188033171516534,2775.670845504315
Kerala,31841,52214.0,380,1039.0,952.0,16.0,13.0,27.0,282.0,4762,173.0,2.897945735461751,6.653122183903155,4620.307714429771
Kerala,54515,38318.0,411,1702.0,329.0,21.0,6.0,29.0,121.0,236339,165.0,11.471531727347905,2.363632702657326,1522.1498819106137
Uttarakhand,31918,63014.0,1870,696.0,57.0,12.0,27.0,24.0,263.0,116973,100.0,20.736671053927235,0.3736802159068655,5509.751013504049
Jharkhand,21174,62270.0,3937,380.0,10.0,35.0,9.0,5.0,186.0,111713,16.0,13.560176210382977,2.1222966343313834,351.498034910761
Bihar,33447,58399.0,127,1997.0,380.0,37.0,23.0,3.0,239.0,143034,218.0,19.52420470081174,1.919438179098702,5413.635294027343
Kerala,38376,44418.0,6827,201.0,649.0,44.0,23.0,14.0,0.0,161122,120.0,18.539907348638398,6.558130943257258,4390.447856127551
West Bengal,39844,113883.0,4955,558.0,496.0,47.0,16.0,30.0,211.0,178402,273.0,8.522586507210324,5.560086537197006,3781.18861573593
Haryana,50097,87934.0,1798,269.0,823.0,36.0,11.0,25.0,389.0,99556,39.0,14.137380393217061,5.228082509873752,3432.9611059529952
Kerala,52098,96933.0,5694,1049.0,706.0,40.0,11.0,37.0,265.0,21882,129.0,16.9831411051917,3.8806588911865307,3388.602936592256
Haryana,38742,99992.0,3766,414.0,419.0,24.0,13.0,29.0,66.0,51721,200.0,22.717509010954224,4.528941716285122,1002.8314361559167
Assam,27457,102610.0,7594,721.0,913.0,38.0,7.0,31.0,299.0,266454,164.0,12.815828433932882,2.7692602272966558,5739.758816307099
Haryana,46047,37934.0,6103,336.0,266.0,19.0,26.0,8.0,124.0,175138,248.0,17.086139403418834,4.006382656287873,1602.8327917861645
Kerala,37440,100405.0,7485,446.0,244.0,42.0,2.0,17.0,308.0,14018,147.0,24.53064558831908,6.769853504994614,1837.4968678031469
Uttar Pradesh,48918,9986.0,243,1337.0,544.0,26.0,15.0,39.0,26.0,134519,262.0,6.030249606997515,4.519585027333418,6724.423930820129
Punjab,49914,92853.0,6446,1106.0,741.0,8.0,7.0,10.0,106.0,102906,252.0,1.2828468546814416,6.241177370908866,955.4216333893231
Punjab,37322,79060.0,7383,1971.0,70.0,42.0,12.0,9.0,53.0,48645,241.0,5.365789011957178,5.292903735078263,3119.592993706496
Tamil Nadu,42635,62431.0,6196,22.0,133.0,32.0,16.0,21.0,368.0,110639,5.0,8.030037642379988,1.1464040252379282,7643.257465980474
Punjab,45190,23536.0,4876,1895.0,429.0,44.0,10.0,25.0,137.0,177224,160.0,5.7481333983534135,1.6878874036148073,441.19128354469615
Uttar Pradesh,52994,50046.0,3723,263.0,242.0,31.0,21.0,16.0,282.0,135807,96.0,20.968466257847563,6.241427479804097,5197.132342469718
Jharkhand,56815,62221.0,4839,1614.0,759.0,41.0,22.0,5.0,399.0,285577,124.0,11.92013939237652,2.757683717163342,1033.623025856702
Punjab,6913,18325.0,345,1199.0,383.0,8.0,21.0,14.0,422.0,298597,196.0,11.991943763030541,0.8151523487513932,4832.924655730561
Chhattisgarh,17685,9310.0,576,931.0,959.0,12.0,24.0,23.0,66.0,276401,99.0,23.629552736400363,6.201537427035002,3864.066026756995
Rajasthan,54640,108996.0,5469,767.0,588.0,25.0,19.0,4.0,20.0,294067,294.0,7.283865981148341,5.583013760301933,5759.723009540808
Bihar,53751,12327.0,4345,1176.0,514.0,26.0,16.0,1.0,147.0,109903,109.0,4.576609119566117,1.8710448506865058,3613.428934089198
Rajasthan,40518,70016.0,4383,815.0,781.0,32.0,17.0,9.0,331.0,91063,34.0,5.832978408745976,1.4148761239073506,533.775319015037
West Bengal,34172,43464.0,4974,1266.0,851.0,38.0,6.0,33.0,462.0,284773,279.0,10.419942612497648,1.193047256660062,2801.147374544369
Haryana,44275,52105.0,2717,1087.0,724.0,13.0,5.0,38.0,375.0,71937,24.0,17.55648552551612,0.3814291470363803,3812.3780577204575
Rajasthan,30234,40306.0,1810,1556.0,620.0,42.0,28.0,24.0,148.0,17176,283.0,21.651898805172745,4.926675550708751,1744.9217001057273
Telangana,51095,63255.0,1056,896.0,647.0,38.0,12.0,34.0,331.0,189732,125.0,10.266188953460109,1.4158099280331327,5938.748971626045
Uttar Pradesh,51019,65220.0,5235,1247.0,760.0,37.0,3.0,25.0,447.0,133410,289.0,18.37398989261365,2.5037345075826596,938.9915698758426
Punjab,4010,65150.0,1644,1732.0,215.0,14.0,9.0,8.0,354.0,46005,82.0,13.452517424291692,2.389212373228353,4012.293580258197
Delhi,1054,35277.0,6728,194.0,835.0,12.0,19.0,1.0,122.0,137224,29.0,2.3133304950794633,1.0763743278216253,3191.1517054349974
Chhattisgarh,54456,52159.0,1212,1158.0,538.0,49.0,12.0,30.0,32.0,110160,8.0,12.210042016168158,0.5640936017279804,6923.693312449336
Rajasthan,37299,114690.0,531,754.0,259.0,10.0,8.0,11.0,432.0,130759,158.0,17.99575095371945,6.006648351017967,3097.9809183516168
Assam,4511,92755.0,7324,900.0,520.0,10.0,5.0,0.0,290.0,119959,156.0,7.921659879444662,6.6369059303828974,2369.2710426537215
Gujarat,24515,77139.0,5232,493.0,703.0,28.0,12.0,7.0,495.0,137643,73.0,7.200742901151873,5.775826825376956,3961.7056984764013
Odisha,5315,118664.0,3881,1616.0,586.0,41.0,11.0,11.0,420.0,171397,86.0,13.913735398809877,1.8305022239337583,4261.032570145851
Jharkhand,56517,63970.0,3029,1698.0,350.0,1.0,13.0,33.0,30.0,89831,12.0,6.1743736219459615,3.1190990666760894,2671.111653934721
Gujarat,22609,75855.0,3700,1791.0,873.0,9.0,4.0,38.0,285.0,101685,204.0,6.895251656680049,1.4980623893890417,6956.476225536178
Madhya Pradesh,23673,117402.0,2356,166.0,339.0,21.0,3.0,11.0,180.0,221063,264.0,8.274050597738807,1.0179895306882574,2030.7782910517474
Assam,47529,56777.0,3567,1207.0,733.0,5.0,19.0,13.0,391.0,119002,94.0,10.51527399237252,4.621932773642372,332.7363553476893
Karnataka,54618,104517.0,6950,1397.0,79.0,20.0,15.0,18.0,427.0,1065,126.0,1.7456892114233566,6.471574901963208,6788.598094253487
Uttarakhand,46972,83324.0,2567,690.0,432.0,25.0,7.0,21.0,458.0,267054,66.0,1.0819726957688407,2.792196702746235,4718.126200033914
Chhattisgarh,34999,27779.0,3182,1066.0,340.0,3.0,5.0,34.0,26.0,247267,185.0,20.2992470894788,1.291888699110708,6677.482458620289
Madhya Pradesh,17245,113611.0,6476,1259.0,342.0,38.0,1.0,15.0,446.0,237565,75.0,20.24196048099383,2.952410342395782,7402.410542740471
Jharkhand,56673,74797.0,4571,768.0,728.0,43.0,22.0,10.0,29.0,173325,287.0,14.123102176975403,0.11774646333792885,7346.385282919581
Madhya Pradesh,45776,9986.0,182,1937.0,912.0,49.0,7.0,35.0,34.0,227517,156.0,13.623177337743437,0.16964100670409885,2037.282620045019
Gujarat,25287,67723.0,2631,1654.0,518.0,5.0,8.0,28.0,244.0,201586,59.0,4.620306147462094,5.397237069287222,4090.903532723433
Kerala,54571,60219.0,7450,142.0,549.0,12.0,2.0,21.0,60.0,156568,291.0,5.598040803630963,0.8881873414544512,113.0080380350432
Delhi,15304,20331.0,5236,611.0,562.0,29.0,2.0,1.0,487.0,51641,77.0,7.392554147956002,3.397517897307618,5652.601285884158
Haryana,48352,35876.0,4129,1611.0,340.0,33.0,12.0,6.0,36.0,194354,268.0,14.41899219547757,0.3704946164956464,1468.074136305662
Bihar,47261,89173.0,3210,1255.0,221.0,12.0,26.0,38.0,300.0,84257,175.0,1.4335329283993095,6.54635614837455,4448.074589307331
Bihar,59813,35929.0,4574,876.0,815.0,7.0,23.0,3.0,185.0,106710,220.0,10.518055723331328,5.298813345269369,3376.24793006317
Haryana,59147,110896.0,4384,310.0,565.0,2.0,24.0,39.0,498.0,66110,88.0,22.63507987732026,5.735314376468552,5263.022387537663
West Bengal,6123,95575.0,4346,1185.0,659.0,20.0,16.0,17.0,63.0,213340,119.0,18.067425912676104,6.284542640659291,5435.125284467172
Maharashtra,6198,91445.0,6831,613.0,653.0,37.0,11.0,28.0,175.0,20528,156.0,6.681719606620805,3.510312982191614,6496.68296319197
Rajasthan,44402,106649.0,7805,514.0,720.0,32.0,24.0,26.0,231.0,150626,181.0,19.68404413102176,1.2825856527500246,7478.576983610363
Rajasthan,6671,43385.0,3025,1314.0,776.0,44.0,5.0,9.0,479.0,190554,142.0,17.227244130502477,2.386053463945794,5202.771249308087
Assam,15747,114196.0,7596,75.0,999.0,6.0,28.0,39.0,50.0,108957,255.0,11.676638085383786,3.3035605768897165,3719.6373099409952
West Bengal,56979,111551.0,7335,88.0,155.0,49.0,5.0,34.0,307.0,245754,52.0,13.108244565591304,3.6974769231614606,5070.610996019345
Bihar,11503,47098.0,3102,725.0,277.0,1.0,11.0,35.0,385.0,4901,154.0,21.892201891059546,6.931027914709606,5192.18581978544
Kerala,8745,83447.0,377,1158.0,71.0,24.0,26.0,17.0,348.0,159206,255.0,5.4743817431690776,6.297203629715608,7325.646201266645
Delhi,41270,10994.0,211,513.0,630.0,6.0,17.0,7.0,484.0,30915,5.0,8.704907882465912,6.60626213845657,706.7118893807358
Uttar Pradesh,22697,34424.0,6576,361.0,924.0,6.0,14.0,30.0,184.0,61849,153.0,14.193831176295262,0.6219833120926829,3990.947412958621
Uttarakhand,59231,61317.0,831,566.0,409.0,23.0,15.0,27.0,446.0,41152,46.0,21.696260011000263,1.931350755735487,7459.422534114937
Delhi,33040,61332.0,423,655.0,117.0,1.0,0.0,7.0,66.0,33170,17.0,21.603552777448307,6.76285002489199,4358.154065348176
Assam,34400,14187.0,2701,1927.0,808.0,10.0,26.0,11.0,89.0,220329,120.0,0.5089515414745016,0.2048173346758493,1372.4336384451424
Haryana,33683,7989.0,5402,1941.0,991.0,11.0,13.0,0.0,340.0,191150,129.0,4.56051605127308,1.471524405692636,5465.658967711127
Bihar,11556,12352.0,1755,907.0,810.0,7.0,5.0,26.0,204.0,37355,272.0,20.97722595885209,5.78578089793427,6455.167053350365
Delhi,51287,16659.0,2572,1114.0,134.0,23.0,1.0,38.0,169.0,243630,253.0,2.022475876191857,6.482308844119056,585.7741484842712
Gujarat,49270,25983.0,6435,1901.0,337.0,16.0,8.0,5.0,221.0,123814,296.0,0.9516384723085867,4.273885305871272,2095.9031624898926
Uttarakhand,36103,68885.0,2520,1208.0,905.0,43.0,22.0,15.0,205.0,134057,206.0,15.60918549033266,0.9753030801065194,3540.2221383819383
Uttarakhand,12321,104630.0,4638,846.0,946.0,27.0,7.0,24.0,350.0,57895,30.0,24.218812780713524,3.4674251941388716,730.9766788900798
Delhi,25881,95272.0,742,512.0,626.0,12.0,7.0,2.0,329.0,76547,21.0,23.928106154343972,0.4830723793297105,7480.406394190903
Kerala,8569,99965.0,2094,514.0,625.0,28.0,25.0,27.0,226.0,194099,239.0,4.903176351266391,3.336638130720722,1172.130358730304
Karnataka,39349,18833.0,7109,640.0,286.0,11.0,18.0,21.0,30.0,225431,37.0,10.946252481744407,6.396637265258465,7813.227805815911
Punjab,52208,44264.0,7333,1223.0,114.0,22.0,18.0,24.0,22.0,23905,119.0,18.05667866338558,0.9511477982834354,7260.4176840276505
Haryana,5150,99388.0,4362,1677.0,93.0,19.0,19.0,35.0,289.0,193410,85.0,10.062889106321736,2.9511922351447537,5373.614020067419
Maharashtra,52269,90791.0,4970,1415.0,39.0,34.0,26.0,12.0,467.0,109538,81.0,4.060211723834445,4.508224941964508,4003.6014976972056
Kerala,27021,41816.0,740,1162.0,509.0,16.0,12.0,35.0,77.0,3369,156.0,20.15394879018274,4.920106528727344,7440.076001180061
Uttar Pradesh,46160,88659.0,1709,455.0,739.0,27.0,8.0,35.0,483.0,77987,197.0,13.416215331488775,3.8062818138449965,1472.4797452489022
Punjab,7303,116086.0,3390,1136.0,810.0,13.0,3.0,11.0,382.0,94175,233.0,6.922458566224478,0.7499268363172649,1174.4972543459237
Tamil Nadu,47801,74153.0,5331,1693.0,598.0,15.0,25.0,13.0,350.0,191749,122.0,23.597434189270587,1.9547659160810673,3436.2769978923707
Kerala,32905,34043.0,1835,369.0,45.0,45.0,7.0,37.0,413.0,55460,287.0,24.557860417856816,3.927025308977934,3366.3058451194047
Tamil Nadu,39269,14924.0,2723,1517.0,304.0,11.0,20.0,33.0,123.0,192972,284.0,22.818785419793727,3.4983329314100673,5827.097315651264
Karnataka,41758,96615.0,7530,1920.0,279.0,16.0,12.0,12.0,69.0,90508,124.0,23.690672436257845,0.3336488684311948,3106.6660005863787
Chhattisgarh,12261,18543.0,2761,1320.0,34.0,11.0,0.0,22.0,230.0,289408,212.0,6.704143873019531,5.662657867627439,4271.641618098924
Gujarat,21989,24074.0,7051,1709.0,642.0,19.0,24.0,37.0,380.0,87004,157.0,8.919929725538609,3.9148642008541508,572.7344792022552
Uttarakhand,9295,18626.0,7290,1639.0,351.0,37.0,17.0,12.0,351.0,169861,15.0,22.3316231767096,6.50342130500089,5899.409419452182
West Bengal,5958,108574.0,2585,1147.0,118.0,21.0,16.0,27.0,309.0,56999,189.0,16.554507621322745,4.333094526507289,4565.1347792667475
Assam,23718,12280.0,6059,697.0,61.0,30.0,1.0,20.0,75.0,95846,8.0,19.715749653604913,3.444123242802505,5258.122890465805
Assam,3505,113254.0,5255,1267.0,396.0,5.0,4.0,28.0,231.0,150245,155.0,18.710609073731675,0.203774548287299,755.3882795921213
Odisha,10561,26023.0,5234,1638.0,333.0,34.0,10.0,34.0,140.0,25753,269.0,1.0374686819231476,1.4655923333823564,3107.54101970469
Maharashtra,41525,91271.0,102,188.0,316.0,1.0,17.0,14.0,270.0,246289,292.0,20.17325763589654,3.0840860053554895,1683.7371987930262
Maharashtra,15502,98597.0,543,1315.0,357.0,48.0,11.0,28.0,436.0,292789,153.0,3.351625206078839,0.788139695434416,3952.1763603679738
Bihar,3045,106389.0,7531,97.0,725.0,49.0,10.0,0.0,464.0,54002,44.0,7.692795200945263,5.982779347502374,4031.2561170828258
Uttar Pradesh,22339,63990.0,1789,260.0,193.0,40.0,19.0,10.0,175.0,299159,21.0,20.35658737291236,3.279962234718574,5838.4277261663
West Bengal,934,28184.0,2455,1304.0,890.0,47.0,0.0,1.0,322.0,254526,76.0,23.31048723814331,2.0565339436599777,3991.9116466804016
Jharkhand,36473,1012.0,3945,200.0,926.0,15.0,9.0,1.0,245.0,168451,203.0,11.465722216837682,5.146594523869935,1343.6315933357178
Odisha,38233,109592.0,4795,402.0,30.0,18.0,13.0,38.0,343.0,28121,243.0,18.266846842065576,5.5453461366634675,188.50445906940922
Uttar Pradesh,45787,43595.0,6054,1904.0,373.0,11.0,0.0,34.0,427.0,25327,284.0,4.572174736417359,3.4975472869675155,5009.982839054803
Punjab,10165,23390.0,5834,847.0,844.0,14.0,3.0,1.0,29.0,20356,25.0,9.884373134117286,1.4981875604940071,1207.6744230872664
Kerala,36284,75194.0,7909,797.0,134.0,40.0,11.0,6.0,176.0,187441,86.0,13.867723209367606,0.5521859363848322,2731.0366887949626
Jharkhand,7773,8576.0,1716,920.0,573.0,40.0,15.0,1.0,436.0,243612,97.0,20.501692359967812,0.40966443226596794,2950.206873211848
Haryana,16637,1443.0,897,606.0,992.0,4.0,24.0,2.0,60.0,93493,175.0,1.4227161361821823,2.508204164025671,85.1098726767292
Tamil Nadu,29887,18913.0,3201,1524.0,651.0,30.0,0.0,18.0,250.0,85555,156.0,17.861436490539067,3.0611253044460733,589.9314478235889
Bihar,17748,118562.0,4856,206.0,310.0,32.0,9.0,19.0,476.0,270550,217.0,2.9410524766698893,1.7547624359503702,3590.183484487722
Odisha,3441,104585.0,4664,1940.0,597.0,29.0,15.0,6.0,356.0,18648,194.0,14.059578205787576,1.7650931374385699,2959.440085965009
